tweet_id,tweet_text,created_at,author_id,clean_text,sentiment
1992892675998253074,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/QMYGDXjmrt",2025-11-24 09:46:54+00:00,1714715323444981760,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992892658436706602,once again thank you iphone 17 https://t.co/fLaGx1zIvo,2025-11-24 09:46:50+00:00,1798515279636660224,once again thank you iphone,Neutral
1992892622424203398,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/g3kaLdA4W0",2025-11-24 09:46:41+00:00,33459669,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992892619647807629,Everyone! He’s using the iPhone 17 orange 🍊 here’s the proof! 📱 https://t.co/6GkUrHsaHu,2025-11-24 09:46:41+00:00,1671886200054099968,everyone hes using the iphone orange heres the proof,Neutral
1992892540245197047,@Elladeyforyou Only the engine of this car will buy iPhone 17,2025-11-24 09:46:22+00:00,1693208421124759552,only the engine of this car will buy iphone,Neutral
1992892533966565578,Apple iPhone 17 Pro Giveaway https://t.co/QMYGDXjmrt,2025-11-24 09:46:20+00:00,1714715323444981760,apple iphone pro giveaway,Neutral
1992892526370656453,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/kja0ZTXdzf",2025-11-24 09:46:19+00:00,1068414078,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992892496448491865,"iPhone 17 Pro Giveaway 

Be one of 10 lucky winners to snag a brand-new iPhone!

How to join:
- Follow 
@Bitget

- Like &amp; RT this post
- Fill up the form. Click the image below.

If we hit 4.6M followers by the end of 2025, we’ll draw the winners!",2025-11-24 09:46:11+00:00,1970934501103783936,iphone pro giveaway be one of lucky winners to snag a brandnew iphone how to join follow like amp rt this post fill up the form click the image below if we hit m followers by the end of well draw the winners,Positive
1992892456707522833,"🌊 ""A New Digital Paradigm Under the Wave""
AKAS 720-Day Single-Token Staking · New Online Launch Incentive Event! 🔥

✨ Three Major Incentives Launched:
🔥 Daily Sprint — iPhone 17 / iPad / Smartwatch giveaways 🎁
🔥 Team Challenge — 🚗 Mercedes Grand Prize, 🏢 Office Subsidies https://t.co/lvNb8K3j6u",2025-11-24 09:46:02+00:00,1440659882,a new digital paradigm under the wave akas day singletoken staking new online launch incentive event three major incentives launched daily sprint iphone ipad smartwatch giveaways team challenge mercedes grand prize office subsidies,Positive
1992892429205389412,"wo months ago, there was no talk except about #GazaFamine and images of skeletal figures. Now, by the power of the Almighty, there are queues in #Gaza to buy #iPhone 17 Pro Max. ‼️

The media made the shortage of food supplies in Gaza seem like the #Ethiopia famine of 1983 https://t.co/Q5PbPbzQI3",2025-11-24 09:45:55+00:00,1718332874405945344,wo months ago there was no talk except about and images of skeletal figures now by the power of the almighty there are queues in to buy pro max the media made the shortage of food supplies in gaza seem like the famine of,Neutral
1992892311974342731,Apple iPhone 17 Pro Giveaway https://t.co/UYMdhuR9RM,2025-11-24 09:45:27+00:00,1916157080899031040,apple iphone pro giveaway,Neutral
1992892257565921723,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/GhHy4im7ge",2025-11-24 09:45:15+00:00,106705563,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992892249806364687,"Deep Blue looks amazing😊✌️
Iphone 17 Pro Max https://t.co/zLOptRu4VY",2025-11-24 09:45:13+00:00,889100706405371904,deep blue looks amazing iphone pro max,Positive
1992892048404271293,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/uw6PEXv5As",2025-11-24 09:44:25+00:00,1420128769579307008,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992892007136563356,@TelkomZA what's the ETA on the iPhone 17 Pro Max? It's going to 2 months now🤷🏿‍♀️ Has anyone done a contract with Telkom for the iPhone 17 pro max and received it yet? #AskAMan #SharedSuccess #PowerOfMutuality,2025-11-24 09:44:15+00:00,1927306700358352897,whats the eta on the iphone pro max its going to months now has anyone done a contract with telkom for the iphone pro max and received it yet,Neutral
1992891979085005286,Apple iPhone 17 Pro Giveaway https://t.co/EaWX7YI17e,2025-11-24 09:44:08+00:00,855543257966759965,apple iphone pro giveaway,Neutral
1992891926497145127,Apple iPhone 17 Pro Giveaway https://t.co/h4Ze5bmhpi,2025-11-24 09:43:56+00:00,1740660559886925824,apple iphone pro giveaway,Neutral
1992891924512972929,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/4WNNdD6chC",2025-11-24 09:43:55+00:00,1986900982069100544,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891723346042882,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/9ZesSVl3vj",2025-11-24 09:43:07+00:00,953969154788245505,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891637031485480,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/bVWatNdixu",2025-11-24 09:42:47+00:00,1557815099091554305,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891613627183288,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/rTU1zSASOd",2025-11-24 09:42:41+00:00,1934158677235171328,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891587345699313,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/h4Ze5bmhpi",2025-11-24 09:42:35+00:00,1740660559886925824,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891552587485497,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/YPcdGQNqSb",2025-11-24 09:42:26+00:00,1398078057466929153,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891464653975654,@jinx__lord iPhone 17,2025-11-24 09:42:05+00:00,1992063011419529216,iphone,Neutral
1992891328246534197,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/DSMRvPOach",2025-11-24 09:41:33+00:00,125402759,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891247091171420,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/ogO92HQRYG",2025-11-24 09:41:14+00:00,1071427207850020864,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891241416290729,Apple iPhone 17 Pro Giveaway https://t.co/DSMRvPOI1P,2025-11-24 09:41:12+00:00,125402759,apple iphone pro giveaway,Neutral
1992891115826298947,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/XyFi4qM6i8",2025-11-24 09:40:42+00:00,1454002019224756224,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891092958888134,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/02ppJ5bNYo",2025-11-24 09:40:37+00:00,742431949,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992891025300549822,Iphone 17 oooo https://t.co/G929lXlYS0,2025-11-24 09:40:21+00:00,1830007202624495616,iphone oooo,Neutral
1992890827614589387,@geekyranjit I like the pictures from my iPhone 17 pro 😅,2025-11-24 09:39:34+00:00,120979014,i like the pictures from my iphone pro,Neutral
1992890760191225998,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/57pR1LGP5i",2025-11-24 09:39:18+00:00,207121271,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992890754243723427,"@Elladeyforyou This car is a spectacle and unique 
  You can't compare this to an iphone 17, na better disrespect aswr",2025-11-24 09:39:16+00:00,1804155995406360576,this car is a spectacle and unique you cant compare this to an iphone na better disrespect aswr,Positive
1992890718185287809,"🌼🌼🌼🌼
Best Deals.... Best Price
Check others and see🫵

Brand New Samsung S25 @ N1,000,000✅
256GB

IPhone 17 Pro @ N1,900,000 ✅
256GB| Esim

17 Pro Max @ N2,100,000✅
256GB https://t.co/TZhPo6Wkwp",2025-11-24 09:39:07+00:00,1079283939997634560,best deals best price check others and see brand new samsung s n gb iphone pro n gb esim pro max n gb,Positive
1992890695997407708,Apple iPhone 17 Pro Giveaway https://t.co/57pR1LGP5i,2025-11-24 09:39:02+00:00,207121271,apple iphone pro giveaway,Neutral
1992890652565389314,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/aec7xBDR8d",2025-11-24 09:38:52+00:00,1836185736867176448,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992890375401591080,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/dRphIoFwIf",2025-11-24 09:37:46+00:00,361844551,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992890250696466627,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/d7LfrbWsYR",2025-11-24 09:37:16+00:00,727920632755834881,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992890109243564537,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/YnXje6lor4",2025-11-24 09:36:42+00:00,801614505881075712,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992890103853961313,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/86Hu7Gh0wa",2025-11-24 09:36:41+00:00,32933286,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992890086091055157,Apple iPhone 17 Pro Giveaway https://t.co/d7LfrbWsYR,2025-11-24 09:36:37+00:00,727920632755834881,apple iphone pro giveaway,Neutral
1992889863482622090,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/MrO1liyDpM",2025-11-24 09:35:44+00:00,938067283058089984,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992889803780858036,Come join the @bitget 4.6M Followers Challenge to win a FREE iPhone 17 Pro! https://t.co/9dKU0iL0hE https://t.co/J6jmQhPnks,2025-11-24 09:35:29+00:00,1541069142069067776,come join the m followers challenge to win a free iphone pro,Positive
1992889649636004284,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/Nq50XQfxG2",2025-11-24 09:34:53+00:00,407224155,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992889401748467773,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/CgpwuI2ySd",2025-11-24 09:33:54+00:00,1508064944419483650,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992889384698585542,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/VVg4q8MMLx",2025-11-24 09:33:50+00:00,1635035972067835904,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992889328813621720,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/4G2UHRpYcE",2025-11-24 09:33:36+00:00,3542734042,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992889094347874430,@yifaer_chen （iPhone 17 promax 2t版）,2025-11-24 09:32:40+00:00,1053157503461027840,iphone promax t,Neutral
1992889060978020674,"https://t.co/AyrQIwYMbI 

I beg oooo, 
""iPhone 17 Pro Max 50gb"" owners, come and see something.",2025-11-24 09:32:32+00:00,1705250765525209088,i beg oooo iphone pro max gb owners come and see something,Neutral
1992888937996832843,@ms_dhoni_077 You comparing iphone 17 pro with Nokiya 3310 😭,2025-11-24 09:32:03+00:00,1897351163961327616,you comparing iphone pro with nokiya,Neutral
1992888911031631900,"@theErdTirdMans @bobbyfijan You can build iPhone3 next to iPhone 17 but what you will find out the hard way is that urgency gives way to preference once the urgency is gone

Human nature reverts back to being picky the moment a choice is possible. Not to mention that iPhone3 will cost same.",2025-11-24 09:31:57+00:00,958842956,you can build iphone next to iphone but what you will find out the hard way is that urgency gives way to preference once the urgency is gone human nature reverts back to being picky the moment a choice is possible not to mention that iphone will cost same,Negative
1992888837601943654,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/vq7bZph5El",2025-11-24 09:31:39+00:00,1040722978454085643,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
1992888700687311259,"@KillaXBT 🎉 Events like these are difficult to miss. Copy and trade the same AI Futures in real time with #Bitrue! Enter the iPhone 17 Lucky Draw for the first 100 sign-ups to win up to $1,000 USDT. https://t.co/q6giK1vhQB",2025-11-24 09:31:06+00:00,1251382849539694592,events like these are difficult to miss copy and trade the same ai futures in real time with enter the iphone lucky draw for the first signups to win up to usdt,Positive
1992888628050276560,"@TedPillows 🎉 Events like these are difficult to miss. Copy and trade the same AI Futures in real-time with #Bitrue! Enter the iPhone 17 Lucky Draw and win up to $1,000 USDT for the first 100 sign-ups. https://t.co/jFVBmILO0n",2025-11-24 09:30:49+00:00,1251382849539694592,events like these are difficult to miss copy and trade the same ai futures in realtime with enter the iphone lucky draw and win up to usdt for the first signups,Positive
1992888618227298633,"Get your hands on the new Apple iPhone 17 Pro.

@Gleamapp is giving it away to one lucky winner. Enter now for a chance 👉 https://t.co/6KJ6ORiL6c",2025-11-24 09:30:47+00:00,2905894164,get your hands on the new apple iphone pro is giving it away to one lucky winner enter now for a chance,Positive
